"id","name","type","typeCode","bizType","address","gcj02_lng","gcj02_lat","wgs84_lng","wgs84_lat","tel","provinceName","cityName","adName"
"BV11277591","凌空路(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","2号线","121.724095","31.192861","121.71972788775373","31.194906965578692","[]","上海市","上海市","浦东新区"
"BV10681608","迪士尼(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","(在建)21号线;11号线","121.667959","31.141263","121.66368411264872","31.14342555774616","[]","上海市","上海市","浦东新区"
"BV11494193","度假区(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","(在建)机场联络线","121.678662","31.156561","121.67436508666174","31.158695052463244","[]","上海市","上海市","浦东新区"
"BV11277593","川沙(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","2号线","121.698210","31.186741","121.69387546268233","31.188824509230233","[]","上海市","上海市","浦东新区"
"BV10718376","航头(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","18号线","121.596083","31.037305","121.59189717194474","31.039610189489597","[]","上海市","上海市","浦东新区"
"BV10039872","美兰湖(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","7号线","121.349966","31.401949","121.3453600391577","31.403771704100322","[]","上海市","上海市","宝山区"
"BV10039960","嘉定北(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","11号线","121.237350","31.391549","121.23290867718731","31.393507685768775","[]","上海市","上海市","嘉定区"
"BV10026233","顾村公园(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","15号线;7号线","121.373009","31.344594","121.36836812659506","31.34640062938405","[]","上海市","上海市","宝山区"
"BV11550033","新成路(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","(在建)嘉闵线","121.265937","31.403740","121.26148901786753","31.405693079898935","[]","上海市","上海市","嘉定区"
"BV11550037","城北路(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","(在建)嘉闵线","121.234855","31.393592","121.23041232323821","31.39554883800521","[]","上海市","上海市","嘉定区"
"BV10030403","五角场(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","10号线","121.514632","31.298043","121.51024754617409","31.30007637269004","[]","上海市","上海市","杨浦区"
