unit_2022,%unit_2022,total_2022,% total_20,unit_2021,% unit_202,total_2021,%total_202,unit_2020,% unit_2_1,total_2020,% total__1,unit_2019,% unit_201,total_2019,%total_201,unit_2018,%unit_2018,total_2018,% total__2,unit_2017,% unit_2_2,total_2017,% total__3,unit_2016,% unit_2_3,total_2016,%total_2_1,unit_2015,% unit_2_4,total_2015,%total_2_2,unit_2014,% unit_2_5,total_2014,%total_2_3,title
-0.287822301650663,-0.630253143613501,-0.189004269302700,-0.473647880461264,-0.259343715936000,0.669950056694740,-0.111875485712327,0.563335573978639,-0.307331564884065,0.136506809409366,-0.156702382827815,0.294491473438842,-0.293038910119539,-0.428737822956374,-0.213047848889653,-0.260611851520942,-0.244497689655854,0.663499754291281,-0.099668117426311,0.295192994063060,-0.319695940786759,0.316542400287460,-0.151948052912678,0.310078254383636,-0.325042363639414,-0.586648065234789,-0.174386568866435,-0.235395354119528,-0.272815952541309,-0.204119197085949,-0.136799777991809,-0.129140450951110,-0.303136833875005,-0.095105880402801,-0.158288979976934,0.015694864730590,白鹤镇板块
-0.089894114401369,0.160034745201853,-0.125818102414592,0.009541984732824,-0.194817886810419,0.863664297894072,-0.178143769136119,0.231408867976199,-0.284336885956795,0.015794552472507,-0.170132880515947,-0.034253465832413,-0.259270290186406,-0.585521671608076,-0.195189442250791,-0.322533277078732,0.054116763013401,0.071643489581088,0.077036618218726,0.090853166657961,0.010064366456661,0.889889507725476,0.028361429922260,1.017085751128304,-0.156946797979967,-0.003514805442000,-0.130352596356934,-0.101732377016957,-0.172009941530924,-0.207122374641556,-0.104574128439107,-0.137268342840355,-0.146470186657953,-0.274681253712376,-0.091967799494360,-0.323946524547220,重固镇板块
-0.192373893108525,0.550587359364659,-0.160976995392301,0.415293858326179,-0.316740380639745,-0.726817910344410,-0.237330694154919,-0.536821271192770,0.082670769662507,3.771984924623115,0.005746439781221,3.154312354312355,-0.260486799475922,-0.705174361146407,-0.226155633512100,-0.403895631168358,0.907922404076225,0.214240760058970,1.328527948593381,0.568593995740260,0.623820137830646,0.286112109234639,0.554387523979019,0.347625188050720,0.453173497978290,-0.423561092725975,0.320890689746064,-0.665912446381927,1.005934323115649,0.004553204681082,2.035401968813639,0.200724655421451,1.256819521189383,14.177682925144696,2.225692780215347,42.840243590322622,半凇园路板块
1.116352086095221,0.191222700198544,1.361667828395602,0.261752012807722,0.832320549283951,-0.229895006535043,0.881264447043141,-0.298379266562103,1.231183010307083,0.156352414245139,1.698481247391266,0.047699668752300,1.165276070702961,0.142559649865876,1.878098225902535,-0.022522522522523,0.977282165197846,0.216396099697390,2.005926572632632,0.007631549930068,0.676132099074306,-0.188869924541861,1.952516446718657,0.721451056244548,0.952863110917236,0.198505396578202,0.869697089819204,-0.197742580831157,0.818706130809408,-0.251879407889638,1.163521167848314,0.088794770729797,1.484000746865208,0.137375160581824,1.495684762883477,-0.095938153952697,豫园板块
-0.314653814884532,0.027341164791529,-0.211252749566780,0.021085175990162,-0.242128475311040,0.897248357583679,-0.230487671529796,0.257549729877760,-0.308589558891659,-0.745712256936858,-0.202996254847690,-0.476064286590602,0.001090663500946,0.579521389241847,-0.026162113846612,1.713386940659668,-0.191748676742975,-0.525558017432387,-0.197197504591043,-0.467265583741026,0.140811777664417,2.175148221343874,-0.044277073910414,2.180029329591281,-0.206440950958844,-0.078677567970930,-0.195636480039745,-0.102693352669328,-0.211307200060396,-0.692183988219794,-0.176051261969365,-0.416750312140426,0.183521702852675,1.940588178415040,-0.069988125532522,1.524133206871114,人民广场板块
-0.171060052295816,0.322344473858372,-0.100351897251842,0.224338151697255,-0.284978637565309,-0.240454942829197,-0.183366624336444,-0.172778649139841,-0.235166254794590,-0.223991333478989,-0.124629418917302,-0.119936204146730,-0.153937365152742,0.066532542707892,-0.109312891898428,0.066657566657567,-0.208046325531116,1.602710555129277,-0.109004094928823,1.255027247244807,-0.343415028804071,-0.047385914480776,-0.204437983035971,-0.112735616490310,-0.324606143986041,-0.029794735362187,-0.185615200385977,0.338656556037985,-0.352304492165382,-0.504921336123382,-0.188578362024402,-0.357945503953779,-0.361631550387145,-0.232273838630807,-0.182383190780770,-0.067032503801394,堡镇
-0.032288149455679,-0.009224023825281,0.044821197598931,0.007975823104944,-0.090411336499067,0.286676303329842,0.002618340369535,0.153919884482286,-0.160509148882381,0.684991988930158,-0.042091933931135,0.385032511348301,-0.222341542673608,0.382006212057038,-0.137315366385055,0.295398704489614,-0.314549565286173,-0.627807329879042,-0.168629841224439,-0.480207299592017,-0.056007915027179,1.761363636363636,0.115080840102562,1.371379628576123,-0.257528983440431,-0.477959466182164,-0.121370086063714,-0.381638376125870,-0.175546297455214,1.448306595365419,-0.018567958907562,1.051852033197052,-0.412920184615744,-0.197325708286713,-0.221832845073882,-0.072678138596570,陈家镇
-0.015991484229467,0.359323295830576,0.065074664478491,0.476084131882410,-0.174871261573929,-0.106551488345119,-0.108154558627826,-0.171471606044763,-0.139582902409905,-0.253850775617217,-0.035833615801402,-0.202674518463992,-0.001090663500946,0.175737681773260,0.102819306789716,0.300817346271892,-0.097670540310726,1.839625488184428,-0.031180115964256,1.629814695521470,-0.315065844838174,-0.374708048868128,-0.190869930482604,-0.257803314749497,-0.246824824253813,-0.489855730755088,-0.134732409335008,-0.389238819921899,-0.151228883683691,-0.001356273734790,-0.038515412688291,0.094278649594829,-0.195424867110507,-0.071070407359828,-0.087818934678697,-0.076893545910302,城桥镇
-0.066224276293784,1.531725678358703,-0.035310509604587,0.913159238033365,-0.303158633305351,0.138058183517844,-0.196596633159407,0.174334652824458,-0.305081690985868,-0.689998907581385,-0.178248675924003,-0.407655502392344,-0.062125870957728,0.272236340533672,-0.028780069326895,0.226528181073636,-0.175928916544173,2.924968316507315,-0.090954688526100,2.093511151348434,-0.361220590767751,-0.565823751347467,-0.213912141587849,-0.334477440234637,-0.289691794037213,-0.685278913330305,-0.160762609496250,-0.609476967160841,-0.148844823510012,0.197047198325971,0.035788407743549,0.152202120106740,-0.247180292094315,0.535203679913804,-0.017576407056852,1.354237237101606,长兴岛板块
-0.144729035896610,-0.537433818663137,-0.130781289408661,-0.439888396482517,0.156052272186235,1.818472963966381,0.137059426767163,1.579841661065053,-0.209268512772873,-0.170826960891414,-0.130127763096562,-0.253760274812906,-0.133354587288736,-0.327227163631230,-0.047475075599467,-0.279887325341871,0.016099901785655,0.061125432145597,0.426548912743070,0.111455449739134,-0.019860674726824,-0.518213259072943,0.312651178133910,-0.070258277392195,0.356081069744811,2.004790950187096,0.458869052786243,4.003642971336717,-0.133626572734696,-0.503177555607223,-0.107257965926062,-0.473498665752687,0.136025743510150,0.214178166397304,0.547900114052123,0.614734354064104,北新泾板块
