Unnamed_ 0,name,pinyin,unit_2021,w_unit_202,unit_2021_,w_unit_2_1,p-sim,sig,labels,unit_202_1,unit_202_2,NUMPOINTS
"14",?????,Buye,"92909",80078.000000000000000,52744.412279999996827,39913.412279999996827,0.001000000000000,"1",HH,80078.000000000000000,36331.101970000003348,4
"15",????,Caolu,"25291",53604.875000000007276,-14873.587719999999536,13440.287280000000464,0.109000000000000,"0",Non-Significant,53604.875000000007276,9857.976973999999245,18
"16",????,Changfeng,"79762",56236.500000000000000,39597.412279999996827,16071.912280000000464,0.071000000000000,"0",Non-Significant,56236.500000000000000,12489.601969999999710,1
"17",?????,Inner Pu tuo,"96676",71211.125000000000000,56511.412279999996827,31046.537280000000464,0.005000000000000,"1",HH,71211.125000000000000,27464.226969999999710,0
"18",????,Changqiao,"50694",51525.124999999992724,10529.412280000000464,11360.537280000000464,0.137000000000000,"0",Non-Significant,51525.124999999992724,7778.226974000000155,1
"19",????,Changzheng,"47284",41129.750000000000000,7119.412280999999894,965.162280699999997,0.429000000000000,"0",Non-Significant,41129.750000000000000,-2617.148025999999845,3
"20",????,Chuansha,"22284",28236.250000000000000,-17880.587719999999536,-11928.337719999999536,0.132000000000000,"0",Non-Significant,28236.250000000000000,-15510.648030000000290,18
"21",????,Liuzao,"0",27800.375000000000000,-40164.587720000003173,-12364.212719999999536,0.114000000000000,"0",Non-Significant,27800.375000000000000,-15946.523030000000290,0
"22",????,Chunshen,"26474",45561.375000000007276,-13690.587719999999536,5396.787280999999894,0.286000000000000,"0",Non-Significant,45561.375000000007276,1814.476973999999927,4
"23",????????,Melong,"21191",40635.124999999992724,-18973.587719999999536,470.537280699999997,0.461000000000000,"0",Non-Significant,40635.124999999992724,-3111.773025999999845,1
"24",????,Dahua,"15959",53716.750000000000000,-24205.587719999999536,13552.162280000000464,0.104000000000000,"0",Non-Significant,53716.750000000000000,9969.851973999999245,1
"25",????,Daning,"58149",63000.500000000000000,17984.412280000000464,22835.912280000000464,0.025000000000000,"1",HH,63000.500000000000000,19253.601969999999710,2
"26",???????????????,Dasanlin,"72946",48485.375000000007276,32781.412279999996827,8320.787281000000803,0.208000000000000,"0",Non-Significant,48485.375000000007276,4738.476974000000155,7
"27",????,Dongcheng,"0",69065.625000000000000,-40164.587720000003173,28901.037280000000464,0.009000000000000,"1",LH,69065.625000000000000,25318.726969999999710,0
"28",??????,Shiji Park,"44991",60745.750000000000000,4826.412280999999894,20581.162280000000464,0.041000000000000,"1",HH,60745.750000000000000,16998.851969999999710,1
"29",?????,East City,"39512",41022.375000000007276,-652.587719300000003,857.787280699999997,0.431000000000000,"0",Non-Significant,41022.375000000007276,-2724.523025999999845,4
"30",?????,East Waitan,"51953",69019.625000000000000,11788.412280000000464,28855.037280000000464,0.008000000000000,"1",HH,69019.625000000000000,25272.726969999999710,3
"31",????,Dongjing,"43090",24733.750000000000000,2925.412280999999894,-15430.837719999999536,0.067000000000000,"0",Non-Significant,24733.750000000000000,-19013.148030000000290,1
"32",?????,Ganxiang Town,"0",15636.875000000000000,-40164.587720000003173,-24527.712719999999536,0.003000000000000,"1",LL,15636.875000000000000,-28110.023030000000290,2
"33",?????,Lvxiang Town,"12584",14063.875000000000000,-27580.587719999999536,-26100.712719999999536,0.003000000000000,"1",LL,14063.875000000000000,-29683.023030000000290,1
"34",?????,Zhangyan Town,"13555",12561.500000000000000,-26609.587719999999536,-27603.087719999999536,0.002000000000000,"1",LL,12561.500000000000000,-31185.398030000000290,0
"35",?????,Caojing,"0",15228.125000000000000,-40164.587720000003173,-24936.462719999999536,0.003000000000000,"1",LL,15228.125000000000000,-28518.773030000000290,0
"36",????,Tinglin,"16283",15997.000000000000000,-23881.587719999999536,-24167.587719999999536,0.003000000000000,"1",LL,15997.000000000000000,-27749.898030000000290,2
"37",?????,Fengjing,"19484",17195.125000000000000,-20680.587719999999536,-22969.462719999999536,0.006000000000000,"1",LL,17195.125000000000000,-26551.773030000000290,0
"38",?????,Zhujing,"23546",14840.125000000000000,-16618.587719999999536,-25324.462719999999536,0.003000000000000,"1",LL,14840.125000000000000,-28906.773030000000290,3
"39",???????,Gaoqiao,"41309",66703.750000000000000,1144.412280999999894,26539.162280000000464,0.012000000000000,"1",HH,66703.750000000000000,22956.851969999999710,17
"40",???????,Gongfu,"58949",40296.375000000007276,18784.412280000000464,131.787280699999997,0.458000000000000,"0",Non-Significant,40296.375000000007276,-3450.523025999999845,11
"41",???????,Gubei,"8742",68456.500000000000000,-31422.587719999999536,28291.912280000000464,0.011000000000000,"1",LH,68456.500000000000000,24709.601969999999710,2
"42",????,Gucun,"40493",31501.125000000000000,328.412280699999997,-8663.462718999999197,0.227000000000000,"0",Non-Significant,31501.125000000000000,-12245.773030000000290,1
"43",???????,Huamu,"51118",56291.875000000007276,10953.412280000000464,16127.287280000000464,0.071000000000000,"0",Non-Significant,56291.875000000007276,12544.976969999999710,6
