Unnamed_ 0,name,pinyin,unit_2021,w_unit_202,unit_2021_,w_unit_2_1,p-sim,sig,labels,unit_202_1,unit_202_2,ditie,
55,??????,Jiangchuan,11322,33804.875,-28842.58772,-6359.712719,0.287,0,Non-Significant,33804.875,-9942.023026,18,
56,????,Jiangqiao,31021,43651.5,-9143.587719,3486.912281,0.34,0,Non-Significant,43651.5,-95.39802632,33,
57,?????,Jin hongqiao,77934,50651,37769.41228,10486.41228,0.141,0,Non-Significant,50651,6904.101974,17,
58,????,Jinhui,22131,21089.375,-18033.58772,-19075.21272,0.023,1,LL,21089.375,-22657.52303,0,
59,????,Nanqiao,22152,22682.5,-18012.58772,-17482.08772,0.036,1,LL,22682.5,-21064.39803,5,
60,????,Fengcheng,16573,19108.125,-23591.58772,-21056.46272,0.014,1,LL,19108.125,-24638.77303,0,
61,????,Xidu,31284,24934,-8880.587719,-15230.58772,0.07,0,Non-Significant,24934,-18812.89803,1,
62,??????,Jinshan New area,18793,12069.5,-21371.58772,-28095.08772,0.001,1,LL,12069.5,-31677.39803,0,
63,????,North Jingan,97812,78066.125,57647.41228,37901.53728,0.001,1,HH,78066.125,34319.22697,3,
64,????,South Jingan,64403,81190.375,24238.41228,41025.78728,0.001,1,HH,81190.375,37443.47697,35,
65,????,Jiuting,11887,35746.625,-28277.58772,-4417.962719,0.364,0,Non-Significant,35746.625,-8000.273026,5,
66,???????,Kangjian,80522,52349.5,40357.41228,12184.91228,0.111,0,Non-Significant,52349.5,8602.601974,8,
67,????,Liangcheng,49902,62198,9737.412281,22033.41228,0.021,1,HH,62198,18451.10197,8,
68,????,Longhua,79767,69066,39602.41228,28901.41228,0.002,1,HH,69066,25319.10197,23,
69,??????,Lujiabang,92025,68810.25,51860.41228,28645.66228,0.002,1,HH,68810.25,25063.35197,13,
70,?????,Lujiazui,74476,64674,34311.41228,24509.41228,0.011,1,HH,64674,20927.10197,9,
71,????,Luodian,25789,33028.75,-14375.58772,-7135.837719,0.27,0,Non-Significant,33028.75,-10718.14803,4,
72,????,Maqiao,38648,26415.375,-1516.587719,-13749.21272,0.09,0,Non-Significant,26415.375,-17331.52303,1,
74,?????,Inner Changning,95779,64647.375,55614.41228,24482.78728,0.01,1,HH,64647.375,20900.47697,14,
75,?????,Inner Xuhui,64164,85245,23999.41228,45080.41228,0.001,1,HH,85245,41498.10197,62,
76,????,Nanpu,96256,57033.625,56091.41228,16869.03728,0.051,0,Non-Significant,57033.625,13286.72697,17,
77,????,Nanxiang,24171,33092.5,-15993.58772,-7072.087719,0.278,0,Non-Significant,33092.5,-10654.39803,6,
