id,name,type,typeCode,bizType,address,gcj02_lng,gcj02_lat,wgs84_lng,wgs84_lat,tel,provinceName,cityName,adName
BV10599626,十一大队(招呼站)(公交站),"交通设施服务;公交车站;公交车站相关","150700",[],"南海线;南红专线","121.363199","31.736536","121.35853871393944","31.73831357730896",[],上海市,上海市,崇明区
BV10386626,合中村(公交站),"交通设施服务;公交车站;公交车站相关","150700",[],(停运)南海线(界河桥),"121.363457","31.736904","121.35879624297135","31.738681248361342",[],上海市,上海市,崇明区
BV10036500,周家河头(公交站),"交通设施服务;公交车站;公交车站相关","150700",[],"(停运)南海线(界河桥);南海线;南红专线","121.355343","31.725764","121.35069796382844","31.727552482733334",[],上海市,上海市,崇明区
BV11330385,合中村(招呼站)(公交站),"交通设施服务;公交车站;公交车站相关","150700",[],南海线,"121.365833","31.740126","121.36116802210387","31.7419002898609",[],上海市,上海市,崇明区
BV10036502,江丰路(公交站),"交通设施服务;公交车站;公交车站相关","150700",[],"(停运)南海线(界河桥);南海线","121.364410","31.705404","121.35975042691592","31.707176798424634",[],上海市,上海市,崇明区
BV10036479,猛将庙(公交站),"交通设施服务;公交车站;公交车站相关","150700",[],"(停运)南海线(界河桥);南海二线;南海线;南红专线","121.365227","31.741293","121.36056290496053","31.743068258905897",[],上海市,上海市,崇明区
BV10386581,江镇村(公交站),"交通设施服务;公交车站;公交车站相关","150700",[],(停运)南海线(界河桥),"121.369072","31.702999","121.36440525145346","31.70476534981917",[],上海市,上海市,崇明区
BV11330392,敬老院(招呼站)(公交站),"交通设施服务;公交车站;公交车站相关","150700",[],"(停运)南海线(界河桥);南海线","121.369214","31.702925","121.36454704493043","31.704691163387988",[],上海市,上海市,崇明区
BV10498357,长兴消防中队(公交站),"交通设施服务;公交车站;公交车站相关","150700",[],"长兴2路;长兴4路","121.713707","31.392088","121.70933326039574","31.394066351059948",[],上海市,上海市,崇明区
BV11400630,长橘路丰福路(公交站),"交通设施服务;公交车站;公交车站相关","150700",[],"1731路(高峰线);长兴3路","121.705894","31.394353","121.70153022663459","31.39634150589981",[],上海市,上海市,崇明区
BV10498368,潘圆公路丰福路(公交站),"交通设施服务;公交车站;公交车站相关","150700",[],"长兴2路;长兴3路","121.705582","31.393390","121.70121875284443","31.39537924449519",[],上海市,上海市,崇明区
BV10498373,前卫农场(公交站),"交通设施服务;公交车站;公交车站相关","150700",[],"长兴2路;长兴4路","121.722397","31.388811","121.71801468117908","31.390780332619993",[],上海市,上海市,崇明区
