"id","name","type","typeCode","bizType","address","gcj02_lng","gcj02_lat","wgs84_lng","wgs84_lat","tel","provinceName","cityName","adName"
"B00151CD61","上海浦东国际机场","交通设施服务;机场相关;飞机场","150104","[]","迎宾大道6000号","121.808682","31.142267","121.80440037514784","31.14438352750804","021-68347575;021-96081388","上海市","上海市","浦东新区"
"B001559TVX","上海虹桥国际机场","交通设施服务;机场相关;飞机场","150104","[]","虹桥路2550号","121.339785","31.196056","121.33521858613587","31.197977413281613","96990;021-32531090","上海市","上海市","长宁区"
"B0FFLHAHMC","上海金山水上机场","交通设施服务;机场相关;飞机场","150104","[]","沪杭公路7555号","121.35464","30.714819","121.35008385109504","30.716983502669656","[]","上海市","上海市","金山区"
